index	Gene
bc2018--bc2018___80_00305	BACUNI_00408
bc2018--bc2018___80_00306	BACUNI_00405
bc2018--bc2018___80_00307	BACUNI_00404
bc2018--bc2018___80_00308	BACUNI_00403
bc2018--bc2018___80_00309	BACUNI_00402
bc2018--bc2018___80_00310	BACUNI_00401
bc2018--bc2018___80_00311	BACUNI_00400
bc2018--bc2018___80_00312	rplS
bc2018--bc2018___80_00313	BACUNI_00395
bc2018--bc2018___80_00314	BACUNI_00394
bc2018--bc2018___80_00315	BACUNI_00393
bc2018--bc2018___80_00316	BACUNI_00392
bc2018--bc2018___80_00317	bc2018--bc2018___80_00317
bc2018--bc2018___80_00318	BACUNI_00388
bc2018--bc2018___80_00319	BACUNI_00387
bc2018--bc2018___80_00320	BACUNI_00386
bc2018--bc2018___80_00321	BACUNI_00385
bc2018--bc2018___80_00322	BACUNI_00383
bc2018--bc2018___80_00323	BACUNI_00382
bc2018--bc2018___80_00324	bc2018--bc2018___80_00324
bc2018--bc2018___80_00325	BACUNI_00379
bc2018--bc2018___80_00326	eglS
bc2018--bc2018___80_00327	BACUNI_00377
bc2018--bc2018___80_00328	BACUNI_00376
bc2018--bc2018___80_00329	BACUNI_00375
bc2018--bc2018___80_00330	BACUNI_00374
bc2018--bc2018___80_00331	BACUNI_00373
bc2018--bc2018___80_00332	BACUNI_00372
bc2018--bc2018___80_00333	BACUNI_00371
bc2018--bc2018___80_00334	BACUNI_00370
bc2018--bc2018___80_00335	BACUNI_00369
bc2018--bc2018___80_00336	BACUNI_00367
bc2018--bc2018___80_00337	BACUNI_00365
bc2018--bc2018___80_00338	BACUNI_00363
bc2018--bc2018___80_00339	BACUNI_00362
bc2018--bc2018___80_00340	BACUNI_00361
bc2018--bc2018___80_00341	BACUNI_00360
bc2018--bc2018___80_00342	BACUNI_00359
bc2018--bc2018___80_00343	BACUNI_00358
bc2018--bc2018___80_00344	bc2018--bc2018___80_00344
bc2018--bc2018___80_00345	BACUNI_00355
bc2018--bc2018___80_00346	yicJ_1
bc2018--bc2018___80_00347	bc2018--bc2018___80_00347
bc2018--bc2018___80_00348	BACUNI_00118
bc2018--bc2018___80_00349	BACUNI_00119
bc2018--bc2018___80_00350	BACUNI_00121
bc2018--bc2018___80_00351	BACUNI_00122
bc2018--bc2018___80_00352	kdpA
bc2018--bc2018___80_00353	kdpB
bc2018--bc2018___80_00354	kdpC
bc2018--bc2018___80_00355	BACUNI_00126
bc2018--bc2018___80_00356	kdpD
bc2018--bc2018___80_00357	BACUNI_00128
bc2018--bc2018___80_00358	bc2018--bc2018___80_00358
bc2018--bc2018___80_00359	BACUNI_00131
bc2018--bc2018___80_00360	BACUNI_00133
bc2018--bc2018___80_00361	BACUNI_00134
bc2018--bc2018___80_00363	BACUNI_00138
bc2018--bc2018___80_00364	BACUNI_00139
bc2018--bc2018___80_00365	ribB
bc2018--bc2018___80_00366	bc2018--bc2018___80_00366
bc2018--bc2018___80_00367	bc2018--bc2018___80_00367
bc2018--bc2018___80_00368	BACUNI_00143
bc2018--bc2018___80_00369	BACUNI_00144
bc2018--bc2018___80_00370	dnaX
bc2018--bc2018___80_00371	BACUNI_00147
bc2018--bc2018___80_00372	BACUNI_00148
bc2018--bc2018___80_00373	BACUNI_00149
bc2018--bc2018___80_00374	BACUNI_00150
bc2018--bc2018___80_00375	BACUNI_00151
bc2018--bc2018___80_00376	BACUNI_00152
bc2018--bc2018___80_00377	BACUNI_00153
bc2018--bc2018___80_00380	BACUNI_03002
bc2018--bc2018___80_00381	bc2018--bc2018___80_00381
bc2018--bc2018___80_00382	fabH
bc2018--bc2018___80_00383	era
bc2018--bc2018___80_00384	der
bc2018--bc2018___80_00385	BACUNI_03007
bc2018--bc2018___80_00386	BACUNI_03008
bc2018--bc2018___80_00387	BACUNI_03009
bc2018--bc2018___80_00388	BACUNI_03010
bc2018--bc2018___80_00389	tig
bc2018--bc2018___80_00390	clpP
bc2018--bc2018___80_00391	clpX
bc2018--bc2018___80_00392	recQ
bc2018--bc2018___80_00393	guaB
bc2018--bc2018___80_00394	BACUNI_03019
bc2018--bc2018___80_00395	BACUNI_03020
bc2018--bc2018___80_00396	BACUNI_03021
bc2018--bc2018___80_00397	BACUNI_03022
bc2018--bc2018___80_00398	BACUNI_03023
bc2018--bc2018___80_00399	mutL
bc2018--bc2018___80_00400	BACUNI_03025
bc2018--bc2018___80_00401	trpS
bc2018--bc2018___80_00402	BACUNI_03028
bc2018--bc2018___80_00403	BACUNI_03030
bc2018--bc2018___80_00404	carB
bc2018--bc2018___80_00405	BACUNI_03032
bc2018--bc2018___80_00408	purB
bc2018--bc2018___80_00409	bc2018--bc2018___80_00409
bc2018--bc2018___80_00410	asnS
bc2018--bc2018___80_00411	BACUNI_03039
bc2018--bc2018___80_00412	rplM
bc2018--bc2018___80_00413	rpsI
bc2018--bc2018___80_00414	rpsB
bc2018--bc2018___80_00415	tsf
bc2018--bc2018___80_00416	BACUNI_03045
bc2018--bc2018___80_00417	rex
bc2018--bc2018___80_00418	BACUNI_03047
bc2018--bc2018___80_00419	BACUNI_03048
bc2018--bc2018___80_00420	BACUNI_03049
bc2018--bc2018___80_00421	BACUNI_03050
bc2018--bc2018___80_00422	bc2018--bc2018___80_00422
bc2018--bc2018___80_00423	BACUNI_03053
bc2018--bc2018___80_00424	BACUNI_03054
bc2018--bc2018___80_00425	BACUNI_03055
bc2018--bc2018___80_00426	BACUNI_03056
bc2018--bc2018___80_00427	bc2018--bc2018___80_00427
bc2018--bc2018___80_00428	BACUNI_03058
bc2018--bc2018___80_00429	BACUNI_03060
bc2018--bc2018___80_00430	BACUNI_03061
bc2018--bc2018___80_00431	BACUNI_03062
bc2018--bc2018___80_00432	BACUNI_03063
bc2018--bc2018___80_00433	BACUNI_03064
bc2018--bc2018___80_00434	BACUNI_03065
bc2018--bc2018___80_00435	BACUNI_03066
bc2018--bc2018___80_00436	BACUNI_03067
bc2018--bc2018___80_00437	BACUNI_03068
bc2018--bc2018___80_00438	BACUNI_03069
bc2018--bc2018___80_00439	BACUNI_03070
bc2018--bc2018___80_00440	BACUNI_03071
bc2018--bc2018___80_00441	ispF
bc2018--bc2018___80_00442	BACUNI_03073
bc2018--bc2018___80_00443	BACUNI_03075
bc2018--bc2018___80_00444	BACUNI_03076
bc2018--bc2018___80_00445	BACUNI_03077
bc2018--bc2018___80_00446	BACUNI_03078
bc2018--bc2018___80_00447	BACUNI_03079
bc2018--bc2018___80_00448	BACUNI_03080
bc2018--bc2018___80_00449	BACUNI_03081
bc2018--bc2018___80_00450	BACUNI_03082
bc2018--bc2018___80_00451	BACUNI_03083
bc2018--bc2018___80_00452	BACUNI_03084
bc2018--bc2018___80_00453	BACUNI_03086
bc2018--bc2018___80_00454	BACUNI_03087
bc2018--bc2018___80_00455	bc2018--bc2018___80_00455
bc2018--bc2018___80_00456	BACUNI_03089
bc2018--bc2018___80_00457	BACUNI_03090
bc2018--bc2018___80_00458	BACUNI_03091
bc2018--bc2018___80_00459	BACUNI_03092
bc2018--bc2018___80_00460	BACUNI_03093
bc2018--bc2018___80_00461	BACUNI_03094
bc2018--bc2018___80_00462	BACUNI_03095
bc2018--bc2018___80_00463	BACUNI_03096
bc2018--bc2018___80_00464	BACUNI_03098
bc2018--bc2018___80_00465	BACUNI_03099
bc2018--bc2018___80_00466	BACUNI_03100
bc2018--bc2018___80_00467	BACUNI_03101
bc2018--bc2018___80_00468	bc2018--bc2018___80_00468
bc2018--bc2018___80_00469	BACUNI_03104
bc2018--bc2018___80_00470	BACUNI_03105
bc2018--bc2018___80_00471	BACUNI_03106
bc2018--bc2018___80_00472	BACUNI_03107
bc2018--bc2018___80_00473	BACUNI_03108
bc2018--bc2018___80_00474	mnmA
bc2018--bc2018___80_00475	BACUNI_03112
bc2018--bc2018___80_00476	xseA
bc2018--bc2018___80_00477	BACUNI_03114
bc2018--bc2018___80_00478	xseB
bc2018--bc2018___80_00479	ilvE
bc2018--bc2018___80_00480	trmB
bc2018--bc2018___80_00481	mrp
bc2018--bc2018___80_00482	BACUNI_03120
bc2018--bc2018___80_00483	BACUNI_03121
bc2018--bc2018___80_00484	BACUNI_03123
bc2018--bc2018___80_00485	BACUNI_03124
bc2018--bc2018___80_00486	BACUNI_03125
bc2018--bc2018___80_00487	BACUNI_03126
bc2018--bc2018___80_00488	BACUNI_03127
bc2018--bc2018___80_00489	bc2018--bc2018___80_00489
bc2018--bc2018___80_00490	BACUNI_03129
bc2018--bc2018___80_00491	bc2018--bc2018___80_00491
bc2018--bc2018___80_00492	BACUNI_03131
bc2018--bc2018___80_00493	mdh
bc2018--bc2018___80_00494	BACUNI_03133
bc2018--bc2018___80_00495	BACUNI_03134
bc2018--bc2018___80_00496	BACUNI_03135
bc2018--bc2018___80_00497	BACUNI_03136
bc2018--bc2018___80_00498	BACUNI_03137
bc2018--bc2018___80_00499	BACUNI_03138
bc2018--bc2018___80_00500	BACUNI_03139
bc2018--bc2018___80_00501	BACUNI_03140
bc2018--bc2018___80_00502	BACUNI_03141
bc2018--bc2018___80_00503	BACUNI_03142
bc2018--bc2018___80_00504	BACUNI_03143
bc2018--bc2018___80_00505	BACUNI_03144
bc2018--bc2018___80_00506	BACUNI_03145
bc2018--bc2018___80_00507	BACUNI_03146
bc2018--bc2018___80_00508	BACUNI_03147
bc2018--bc2018___80_00509	BACUNI_03148
bc2018--bc2018___80_00510	BACUNI_03149
bc2018--bc2018___80_00511	BACUNI_03150
bc2018--bc2018___80_00512	BACUNI_03152
bc2018--bc2018___80_00513	BACUNI_03153
bc2018--bc2018___80_00514	BACUNI_03154
bc2018--bc2018___80_00515	bc2018--bc2018___80_00515
bc2018--bc2018___80_00516	BACUNI_03158
bc2018--bc2018___80_00517	BACUNI_03160
bc2018--bc2018___80_00518	bc2018--bc2018___80_00518
bc2018--bc2018___80_00519	bc2018--bc2018___80_00519
bc2018--bc2018___80_00520	BACUNI_03163
bc2018--bc2018___80_00521	bc2018--bc2018___80_00521
bc2018--bc2018___80_00522	BACUNI_03166
bc2018--bc2018___80_00523	BACUNI_03170
bc2018--bc2018___80_00524	BACUNI_03172
bc2018--bc2018___80_00525	BACUNI_03173
bc2018--bc2018___80_00526	BACUNI_03175
bc2018--bc2018___80_00527	BACUNI_03176
bc2018--bc2018___80_00528	BACUNI_03177
bc2018--bc2018___80_00529	bc2018--bc2018___80_00529
bc2018--bc2018___80_00530	BACUNI_03179
bc2018--bc2018___80_00531	BACUNI_03181
bc2018--bc2018___80_00532	BACUNI_03182
bc2018--bc2018___80_00533	BACUNI_03183
bc2018--bc2018___80_00534	BACUNI_03184
bc2018--bc2018___80_00535	BACUNI_03185
bc2018--bc2018___80_00536	BACUNI_03186
bc2018--bc2018___80_00537	BACUNI_03187
bc2018--bc2018___80_00538	BACUNI_03188
bc2018--bc2018___80_00539	BACUNI_03189
bc2018--bc2018___80_00540	BACUNI_03190
bc2018--bc2018___80_00541	bc2018--bc2018___80_00541
bc2018--bc2018___80_00542	bc2018--bc2018___80_00542
bc2018--bc2018___80_00543	BACUNI_03193
bc2018--bc2018___80_00544	BACUNI_03194
bc2018--bc2018___80_00545	BACUNI_03195
bc2018--bc2018___80_00546	BACUNI_03196
bc2018--bc2018___80_00547	BACUNI_03197
bc2018--bc2018___80_00548	BACUNI_03198
bc2018--bc2018___80_00549	BACUNI_03199
bc2018--bc2018___80_00550	BACUNI_03201
bc2018--bc2018___80_00551	bc2018--bc2018___80_00551
bc2018--bc2018___80_00552	BACUNI_03205
bc2018--bc2018___80_00553	bc2018--bc2018___80_00553
bc2018--bc2018___80_00554	BACUNI_03206
bc2018--bc2018___80_00555	bc2018--bc2018___80_00555
bc2018--bc2018___80_00556	BACUNI_03210
bc2018--bc2018___80_00557	BACUNI_03211
bc2018--bc2018___80_00558	BACUNI_03212
