index,bacuni,Entry.Name,Gene
contig_4_ncRNA13,contig_4_ncRNA13,,contig_4_ncRNA13
contig_4_ncRNA14,contig_4_ncRNA14,,contig_4_ncRNA14
contig_4_ncRNA15,contig_4_ncRNA15,,contig_4_ncRNA15
contig_4_ncRNA16,contig_4_ncRNA16,,contig_4_ncRNA16
contig_4_ncRNA17,contig_4_ncRNA17,,contig_4_ncRNA17
contig_4_ncRNA18,contig_4_ncRNA18,,contig_4_ncRNA18
contig_4_ncRNA19,contig_4_ncRNA19,,contig_4_ncRNA19
contig_4_ncRNA20,contig_4_ncRNA20,,contig_4_ncRNA20
contig_4_ncRNA21,contig_4_ncRNA21,,contig_4_ncRNA21
contig_4_ncRNA22,contig_4_ncRNA22,,contig_4_ncRNA22
contig_4_ncRNA23,contig_4_ncRNA23,,contig_4_ncRNA23
contig_4_ncRNA24,contig_4_ncRNA24,,contig_4_ncRNA24
contig_4_ncRNA25,contig_4_ncRNA25,,contig_4_ncRNA25
contig_4_ncRNA26,contig_4_ncRNA26,,contig_4_ncRNA26
contig_4_ncRNA27,contig_4_ncRNA27,,contig_4_ncRNA27
contig_4_ncRNA28,contig_4_ncRNA28,,contig_4_ncRNA28
contig_4_ncRNA29,contig_4_ncRNA29,,contig_4_ncRNA29
contig_4_ncRNA30,contig_4_ncRNA30,,contig_4_ncRNA30
contig_4_ncRNA31,contig_4_ncRNA31,,contig_4_ncRNA31
contig_4_ncRNA32,contig_4_ncRNA32,,contig_4_ncRNA32
contig_4_ncRNA33,contig_4_ncRNA33,,contig_4_ncRNA33
contig_4_ncRNA34,contig_4_ncRNA34,,contig_4_ncRNA34
contig_4_ncRNA35,contig_4_ncRNA35,,contig_4_ncRNA35
contig_4_ncRNA36,contig_4_ncRNA36,,contig_4_ncRNA36
contig_4_ncRNA37,contig_4_ncRNA37,,contig_4_ncRNA37
contig_4_ncRNA38,contig_4_ncRNA38,,contig_4_ncRNA38
contig_4_ncRNA39,contig_4_ncRNA39,,contig_4_ncRNA39
contig_4_ncRNA40,contig_4_ncRNA40,,contig_4_ncRNA40
contig_4_ncRNA41,contig_4_ncRNA41,,contig_4_ncRNA41
contig_4_ncRNA42,contig_4_ncRNA42,,contig_4_ncRNA42
contig_4_ncRNA43,contig_4_ncRNA43,,contig_4_ncRNA43
contig_4_ncRNA44,contig_4_ncRNA44,,contig_4_ncRNA44
contig_4_ncRNA45,contig_4_ncRNA45,,contig_4_ncRNA45
contig_4_ncRNA46,contig_4_ncRNA46,,contig_4_ncRNA46
bc2018--bc2018___80_00014,bc2018--bc2018___80_00014,,bc2018--bc2018___80_00014
bc2018--bc2018___80_00015,BACUNI_04001,A7V8T1_BACUC,BACUNI_04001
bc2018--bc2018___80_00016,BACUNI_04000,A7V8T0_BACUC,BACUNI_04000
bc2018--bc2018___80_00017,BACUNI_03999,,BACUNI_03999
bc2018--bc2018___80_00018,BACUNI_03997,A7V8S7_BACUC,hup
bc2018--bc2018___80_00019,BACUNI_03996,A7V8S6_BACUC,argS
bc2018--bc2018___80_00020,BACUNI_03994,A7V8S5_BACUC,topA
bc2018--bc2018___80_00021,BACUNI_03993,A7V8S3_BACUC,BACUNI_03993
bc2018--bc2018___80_00022,BACUNI_03992,A7V8S2_BACUC,BACUNI_03992
bc2018--bc2018___80_00023,BACUNI_03991,A7V8S1_BACUC,BACUNI_03991
bc2018--bc2018___80_00024,BACUNI_03990,,BACUNI_03990
bc2018--bc2018___80_00025,BACUNI_03989,,BACUNI_03989
bc2018--bc2018___80_00026,BACUNI_03988,,BACUNI_03988
bc2018--bc2018___80_00027,BACUNI_03987,,BACUNI_03987
bc2018--bc2018___80_00028,BACUNI_03985,,BACUNI_03985
bc2018--bc2018___80_00029,BACUNI_03984,A7V8R3_BACUC,BACUNI_03984
bc2018--bc2018___80_00030,BACUNI_03982,A7V8R2_BACUC,BACUNI_03982
bc2018--bc2018___80_00031,BACUNI_03981,,comF
bc2018--bc2018___80_00032,BACUNI_03980,A7V8R0_BACUC,BACUNI_03980
bc2018--bc2018___80_00035,BACUNI_03978,A7V8Q9_BACUC,BACUNI_03978
bc2018--bc2018___80_00036,BACUNI_03977,A7V8Q8_BACUC,BACUNI_03977
bc2018--bc2018___80_00037,BACUNI_03976,A7V8Q7_BACUC,BACUNI_03976
bc2018--bc2018___80_00038,bc2018--bc2018___80_00038,,bc2018--bc2018___80_00038
bc2018--bc2018___80_00039,BACUNI_03974,A7V8Q5_BACUC,BACUNI_03974
bc2018--bc2018___80_00040,BACUNI_03973,,bglX
bc2018--bc2018___80_00041,BACUNI_03971,,BACUNI_03971
bc2018--bc2018___80_00042,BACUNI_03970,,BACUNI_03970
bc2018--bc2018___80_00043,BACUNI_03969,,BACUNI_03969
bc2018--bc2018___80_00044,BACUNI_03968,,BACUNI_03968
bc2018--bc2018___80_00045,BACUNI_03967,,BACUNI_03967
bc2018--bc2018___80_00046,BACUNI_03966,,BACUNI_03966
bc2018--bc2018___80_00047,BACUNI_03965,,BACUNI_03965
bc2018--bc2018___80_00048,BACUNI_03964,,BACUNI_03964
bc2018--bc2018___80_00049,BACUNI_03963,,BACUNI_03963
bc2018--bc2018___80_00050,BACUNI_03962,,BACUNI_03962
bc2018--bc2018___80_00051,BACUNI_03961,,bglX
bc2018--bc2018___80_00052,BACUNI_03960,,BACUNI_03960
bc2018--bc2018___80_00053,BACUNI_03959,,BACUNI_03959
bc2018--bc2018___80_00054,BACUNI_03957,,BACUNI_03957
bc2018--bc2018___80_00055,BACUNI_03956,,BACUNI_03956
bc2018--bc2018___80_00056,BACUNI_03954,,BACUNI_03954
bc2018--bc2018___80_00057,BACUNI_03953,,BACUNI_03953
bc2018--bc2018___80_00058,BACUNI_03952,A7V8N3_BACUC,ispG
bc2018--bc2018___80_00059,BACUNI_03951,A7V8N2_BACUC,purE
bc2018--bc2018___80_00060,BACUNI_03950,A7V8N1_BACUC,gcvH
bc2018--bc2018___80_00061,BACUNI_03949,,BACUNI_03949
bc2018--bc2018___80_00062,BACUNI_03948,A7V8M9_BACUC,rpoN
bc2018--bc2018___80_00063,BACUNI_03945,A7V8M6_BACUC,BACUNI_03945
bc2018--bc2018___80_00064,BACUNI_03944,A7V8M5_BACUC,BACUNI_03944
bc2018--bc2018___80_00065,BACUNI_03943,A7V8M4_BACUC,BACUNI_03943
bc2018--bc2018___80_00066,BACUNI_03942,A7V8M3_BACUC,BACUNI_03942
bc2018--bc2018___80_00067,BACUNI_03941,,BACUNI_03941
bc2018--bc2018___80_00068,BACUNI_03940,A7V8M1_BACUC,BACUNI_03940
bc2018--bc2018___80_00069,BACUNI_03939,A7V8M0_BACUC,BACUNI_03939
bc2018--bc2018___80_00070,BACUNI_03938,A7V8L9_BACUC,BACUNI_03938
bc2018--bc2018___80_00071,BACUNI_03937,A7V8L8_BACUC,ribF
bc2018--bc2018___80_00072,bc2018--bc2018___80_00072,,bc2018--bc2018___80_00072
bc2018--bc2018___80_00073,BACUNI_03936,,BACUNI_03936
bc2018--bc2018___80_00074,BACUNI_03935,,BACUNI_03935
bc2018--bc2018___80_00075,BACUNI_03933,A7V8L4_BACUC,BACUNI_03933
bc2018--bc2018___80_00076,BACUNI_03932,A7V8L3_BACUC,BACUNI_03932
bc2018--bc2018___80_00077,BACUNI_03930,A7V8L1_BACUC,BACUNI_03930
bc2018--bc2018___80_00078,BACUNI_03929,,BACUNI_03929
bc2018--bc2018___80_00079,BACUNI_03928,,BACUNI_03928
bc2018--bc2018___80_00080,BACUNI_03927,A7V8K8_BACUC,BACUNI_03927
bc2018--bc2018___80_00081,BACUNI_02401,,BACUNI_02401
bc2018--bc2018___80_00082,BACUNI_03048,A7V635_BACUC,BACUNI_03048
bc2018--bc2018___80_00083,BACUNI_03921,A7V8K2_BACUC,sufE
bc2018--bc2018___80_00084,BACUNI_03920,A7V8K1_BACUC,BACUNI_03920
bc2018--bc2018___80_00085,BACUNI_03919,A7V8K0_BACUC,BACUNI_03919
bc2018--bc2018___80_00086,BACUNI_03917,A7V8J8_BACUC,BACUNI_03917
bc2018--bc2018___80_00087,BACUNI_03916,A7V8J7_BACUC,buk
bc2018--bc2018___80_00088,bc2018--bc2018___80_00088,,bc2018--bc2018___80_00088
bc2018--bc2018___80_00089,BACUNI_03913,A7V8J4_BACUC,BACUNI_03913
bc2018--bc2018___80_00090,BACUNI_03912,,BACUNI_03912
bc2018--bc2018___80_00091,BACUNI_03911,,BACUNI_03911
bc2018--bc2018___80_00092,BACUNI_03910,,BACUNI_03910
bc2018--bc2018___80_00093,BACUNI_03909,,BACUNI_03909
bc2018--bc2018___80_00094,BACUNI_03908,,BACUNI_03908
bc2018--bc2018___80_00095,BACUNI_03907,,BACUNI_03907
bc2018--bc2018___80_00096,bc2018--bc2018___80_00096,,bc2018--bc2018___80_00096
bc2018--bc2018___80_00097,BACUNI_03904,,BACUNI_03904
bc2018--bc2018___80_00098,BACUNI_03903,A7V8I4_BACUC,rnhB
bc2018--bc2018___80_00099,bc2018--bc2018___80_00099,,bc2018--bc2018___80_00099
bc2018--bc2018___80_00100,bc2018--bc2018___80_00100,,bc2018--bc2018___80_00100
bc2018--bc2018___80_00101,BACUNI_03899,,BACUNI_03899
bc2018--bc2018___80_00102,bc2018--bc2018___80_00102,,bc2018--bc2018___80_00102
bc2018--bc2018___80_00103,BACUNI_03895,,bfce
bc2018--bc2018___80_00104,BACUNI_03894,,BACUNI_03894
bc2018--bc2018___80_00105,BACUNI_03893,,BACUNI_03893
bc2018--bc2018___80_00106,bc2018--bc2018___80_00106,,bc2018--bc2018___80_00106
bc2018--bc2018___80_00107,BACUNI_03891,,BACUNI_03891
bc2018--bc2018___80_00108,BACUNI_03890,,BACUNI_03890
bc2018--bc2018___80_00109,BACUNI_03888,,BACUNI_03888
bc2018--bc2018___80_00110,BACUNI_03887,,BACUNI_03887
bc2018--bc2018___80_00111,BACUNI_03885,A7V8G7_BACUC,BACUNI_03885
bc2018--bc2018___80_00112,BACUNI_03884,A7V8G5_BACUC,gpmI
bc2018--bc2018___80_00113,BACUNI_03883,A7V8G4_BACUC,BACUNI_03883
bc2018--bc2018___80_00114,BACUNI_03882,A7V8G3_BACUC,gyrB
bc2018--bc2018___80_00115,BACUNI_03881,A7V8G2_BACUC,rpsT
bc2018--bc2018___80_00117,BACUNI_03877,A7V8F8_BACUC,recO
bc2018--bc2018___80_00118,BACUNI_03875,A7V8F7_BACUC,BACUNI_03875
bc2018--bc2018___80_00119,BACUNI_03874,A7V8F6_BACUC,ftsZ
bc2018--bc2018___80_00120,BACUNI_03873,A7V8F5_BACUC,ftsA
bc2018--bc2018___80_00121,BACUNI_03872,A7V8F4_BACUC,BACUNI_03872
bc2018--bc2018___80_00122,BACUNI_03871,A7V8F3_BACUC,murC
bc2018--bc2018___80_00123,BACUNI_03870,A7V8F2_BACUC,murG
bc2018--bc2018___80_00124,BACUNI_03869,A7V8F1_BACUC,BACUNI_03869
bc2018--bc2018___80_00125,BACUNI_03868,A7V8F0_BACUC,murD
bc2018--bc2018___80_00126,BACUNI_03867,A7V8E9_BACUC,mraY
bc2018--bc2018___80_00127,bc2018--bc2018___80_00127,,bc2018--bc2018___80_00127
bc2018--bc2018___80_00128,BACUNI_03865,A7V8E7_BACUC,BACUNI_03865
bc2018--bc2018___80_00129,BACUNI_03864,A7V8E6_BACUC,BACUNI_03864
bc2018--bc2018___80_00130,BACUNI_03863,A7V8E5_BACUC,rsmH
bc2018--bc2018___80_00131,BACUNI_03862,A7V8E4_BACUC,mraZ
bc2018--bc2018___80_00132,BACUNI_03859,A7V8E1_BACUC,BACUNI_03859
bc2018--bc2018___80_00133,BACUNI_03858,A7V8E0_BACUC,BACUNI_03858
bc2018--bc2018___80_00134,BACUNI_03857,A7V8D9_BACUC,BACUNI_03857
bc2018--bc2018___80_00135,BACUNI_03856,A7V8D8_BACUC,BACUNI_03856
bc2018--bc2018___80_00136,BACUNI_03855,A7V8D7_BACUC,BACUNI_03855
bc2018--bc2018___80_00137,BACUNI_03854,A7V8D6_BACUC,BACUNI_03854
bc2018--bc2018___80_00138,BACUNI_03853,A7V8D5_BACUC,dut
bc2018--bc2018___80_00139,BACUNI_03852,A7V8D4_BACUC,BACUNI_03852
bc2018--bc2018___80_00140,BACUNI_03851,A7V8D3_BACUC,BACUNI_03851
bc2018--bc2018___80_00141,BACUNI_03850,A7V8D2_BACUC,BACUNI_03850
bc2018--bc2018___80_00142,BACUNI_03849,A7V8D1_BACUC,BACUNI_03849
bc2018--bc2018___80_00143,BACUNI_03847,A7V8D0_BACUC,BACUNI_03847
bc2018--bc2018___80_00144,BACUNI_03846,A7V8C8_BACUC,BACUNI_03846
bc2018--bc2018___80_00145,BACUNI_03844,,BACUNI_03844
bc2018--bc2018___80_00146,BACUNI_03843,,BACUNI_03843
bc2018--bc2018___80_00147,BACUNI_03842,,BACUNI_03842
bc2018--bc2018___80_00148,BACUNI_03841,,BACUNI_03841
bc2018--bc2018___80_00149,BACUNI_03840,,BACUNI_03840
bc2018--bc2018___80_00150,BACUNI_03839,,BACUNI_03839
bc2018--bc2018___80_00151,BACUNI_03838,,BACUNI_03838
bc2018--bc2018___80_00152,BACUNI_03837,A7V8B9_BACUC,prfB
bc2018--bc2018___80_00153,bc2018--bc2018___80_00153,,bc2018--bc2018___80_00153
bc2018--bc2018___80_00154,BACUNI_03835,A7V8B7_BACUC,BACUNI_03835
bc2018--bc2018___80_00155,BACUNI_03834,,BACUNI_03834
bc2018--bc2018___80_00156,BACUNI_03833,A7V8B5_BACUC,BACUNI_03833
bc2018--bc2018___80_00157,BACUNI_03832,A7V8B4_BACUC,BACUNI_03832
bc2018--bc2018___80_00158,bc2018--bc2018___80_00158,,bc2018--bc2018___80_00158
bc2018--bc2018___80_00159,BACUNI_03829,A7V8B1_BACUC,BACUNI_03829
bc2018--bc2018___80_00160,BACUNI_03827,A7V8A9_BACUC,BACUNI_03827
bc2018--bc2018___80_00161,BACUNI_03826,A7V8A8_BACUC,BACUNI_03826
bc2018--bc2018___80_00162,BACUNI_03824,A7V8A6_BACUC,BACUNI_03824
bc2018--bc2018___80_00163,BACUNI_03822,,BACUNI_03822
bc2018--bc2018___80_00164,BACUNI_03821,,BACUNI_03821
bc2018--bc2018___80_00165,BACUNI_03820,,BACUNI_03820
bc2018--bc2018___80_00166,BACUNI_03819,,BACUNI_03819
bc2018--bc2018___80_00167,BACUNI_03818,A7V8A0_BACUC,BACUNI_03818
bc2018--bc2018___80_00169,BACUNI_03816,A7V899_BACUC,BACUNI_03816
bc2018--bc2018___80_00170,BACUNI_03815,A7V898_BACUC,BACUNI_03815
bc2018--bc2018___80_00171,BACUNI_03813,A7V897_BACUC,BACUNI_03813
bc2018--bc2018___80_00172,BACUNI_03811,,BACUNI_03811
bc2018--bc2018___80_00173,BACUNI_03810,,BACUNI_03810
bc2018--bc2018___80_00174,BACUNI_03809,,BACUNI_03809
bc2018--bc2018___80_00175,BACUNI_03808,,BACUNI_03808
bc2018--bc2018___80_00176,BACUNI_03807,,BACUNI_03807
bc2018--bc2018___80_00177,BACUNI_03806,,BACUNI_03806
bc2018--bc2018___80_00178,BACUNI_03805,,BACUNI_03805
bc2018--bc2018___80_00179,BACUNI_03804,,BACUNI_03804
bc2018--bc2018___80_00180,BACUNI_03803,,BACUNI_03803
bc2018--bc2018___80_00181,bc2018--bc2018___80_00181,,bc2018--bc2018___80_00181
bc2018--bc2018___80_00182,BACUNI_03800,,BACUNI_03800
bc2018--bc2018___80_00183,BACUNI_03799,,BACUNI_03799
bc2018--bc2018___80_00184,BACUNI_03798,A7V881_BACUC,BACUNI_03798
bc2018--bc2018___80_00185,BACUNI_03796,,BACUNI_03796
bc2018--bc2018___80_00186,BACUNI_03795,A7V878_BACUC,BACUNI_03795
bc2018--bc2018___80_00187,BACUNI_03793,A7V876_BACUC,BACUNI_03793
bc2018--bc2018___80_00188,BACUNI_03792,A7V875_BACUC,BACUNI_03792
bc2018--bc2018___80_00189,BACUNI_03791,A7V874_BACUC,ribB
bc2018--bc2018___80_00190,BACUNI_03789,,BACUNI_03789
bc2018--bc2018___80_00191,bc2018--bc2018___80_00191,,bc2018--bc2018___80_00191
bc2018--bc2018___80_00192,BACUNI_03787,,BACUNI_03787
bc2018--bc2018___80_00193,BACUNI_03786,,BACUNI_03786
bc2018--bc2018___80_00194,BACUNI_03785,,BACUNI_03785
bc2018--bc2018___80_00195,BACUNI_03784,,BACUNI_03784
bc2018--bc2018___80_00196,bc2018--bc2018___80_00196,,bc2018--bc2018___80_00196
bc2018--bc2018___80_00197,BACUNI_00270,,BACUNI_00270
bc2018--bc2018___80_00198,BACUNI_00269,,BACUNI_00269
bc2018--bc2018___80_00199,BACUNI_00268,,bglB
bc2018--bc2018___80_00200,BACUNI_00266,A7UY95_BACUC,glyS
bc2018--bc2018___80_00201,BACUNI_00265,A7UY94_BACUC,BACUNI_00265
bc2018--bc2018___80_00202,BACUNI_00264,A7UY93_BACUC,BACUNI_00264
bc2018--bc2018___80_00203,BACUNI_00263,A7UY92_BACUC,murQ
bc2018--bc2018___80_00204,BACUNI_00262,A7UY91_BACUC,BACUNI_00262
bc2018--bc2018___80_00205,BACUNI_00261,,BACUNI_00261
bc2018--bc2018___80_00206,BACUNI_00260,A7UY89_BACUC,BACUNI_00260
bc2018--bc2018___80_00207,BACUNI_00259,A7UY88_BACUC,BACUNI_00259
bc2018--bc2018___80_00208,BACUNI_00258,,BACUNI_00258
bc2018--bc2018___80_00209,BACUNI_00257,A7UY86_BACUC,BACUNI_00257
bc2018--bc2018___80_00210,BACUNI_00256,,BACUNI_00256
bc2018--bc2018___80_00211,BACUNI_00255,A7UY84_BACUC,BACUNI_00255
bc2018--bc2018___80_00212,BACUNI_00254,,BACUNI_00254
bc2018--bc2018___80_00213,BACUNI_00253,,BACUNI_00253
bc2018--bc2018___80_00214,BACUNI_00252,,BACUNI_00252
bc2018--bc2018___80_00215,BACUNI_00251,A7UY80_BACUC,BACUNI_00251
bc2018--bc2018___80_00216,BACUNI_00248,,BACUNI_00248
bc2018--bc2018___80_00217,BACUNI_00247,,BACUNI_00247
bc2018--bc2018___80_00218,BACUNI_00246,,BACUNI_00246
bc2018--bc2018___80_00219,BACUNI_00245,,BACUNI_00245
bc2018--bc2018___80_00220,BACUNI_00244,,BACUNI_00244
bc2018--bc2018___80_00221,BACUNI_00242,,BACUNI_00242
bc2018--bc2018___80_00222,BACUNI_00241,,BACUNI_00241
bc2018--bc2018___80_00223,BACUNI_00239,A7UY68_BACUC,BACUNI_00239
bc2018--bc2018___80_00224,BACUNI_00238,,BACUNI_00238
bc2018--bc2018___80_00225,BACUNI_00237,A7UY66_BACUC,BACUNI_00237
bc2018--bc2018___80_00226,BACUNI_00236,A7UY65_BACUC,BACUNI_00236
bc2018--bc2018___80_00227,BACUNI_00235,,BACUNI_00235
bc2018--bc2018___80_00228,BACUNI_00234,A7UY63_BACUC,asd
bc2018--bc2018___80_00229,BACUNI_00233,A7UY62_BACUC,BACUNI_00233
bc2018--bc2018___80_00230,BACUNI_00232,A7UY61_BACUC,BACUNI_00232
bc2018--bc2018___80_00231,BACUNI_00231,A7UY60_BACUC,BACUNI_00231
bc2018--bc2018___80_00232,BACUNI_00230,,BACUNI_00230
bc2018--bc2018___80_00233,BACUNI_00229,,BACUNI_00229
bc2018--bc2018___80_00234,BACUNI_00228,,BACUNI_00228
bc2018--bc2018___80_00235,BACUNI_00227,,fjo27
bc2018--bc2018___80_00236,BACUNI_00226,A7UY55_BACUC,murF
bc2018--bc2018___80_00237,BACUNI_00225,A7UY54_BACUC,folP
bc2018--bc2018___80_00238,BACUNI_00224,A7UY53_BACUC,dacA
bc2018--bc2018___80_00239,BACUNI_00223,A7UY52_BACUC,BACUNI_00223
bc2018--bc2018___80_00240,BACUNI_00222,A7UY51_BACUC,BACUNI_00222
bc2018--bc2018___80_00241,BACUNI_00221,A7UY50_BACUC,BACUNI_00221
bc2018--bc2018___80_00242,BACUNI_00220,A7UY49_BACUC,BACUNI_00220
bc2018--bc2018___80_00243,BACUNI_00219,,BACUNI_00219
bc2018--bc2018___80_00244,BACUNI_00218,,BACUNI_00218
bc2018--bc2018___80_00245,bc2018--bc2018___80_00245,,bc2018--bc2018___80_00245
bc2018--bc2018___80_00246,BACUNI_00215,A7UY44_BACUC,pta
bc2018--bc2018___80_00247,BACUNI_00214,A7UY43_BACUC,ackA
bc2018--bc2018___80_00248,BACUNI_00213,A7UY42_BACUC,BACUNI_00213
bc2018--bc2018___80_00249,BACUNI_00212,A7UY41_BACUC,BACUNI_00212
bc2018--bc2018___80_00250,BACUNI_00211,A7UY40_BACUC,BACUNI_00211
bc2018--bc2018___80_00251,BACUNI_00210,A7UY39_BACUC,BACUNI_00210
bc2018--bc2018___80_00252,BACUNI_00209,A7UY38_BACUC,BACUNI_00209
bc2018--bc2018___80_00253,BACUNI_02402,,BACUNI_02402
bc2018--bc2018___80_00254,BACUNI_02401,,BACUNI_02401
bc2018--bc2018___80_00255,BACUNI_00463,,BACUNI_00463
bc2018--bc2018___80_00256,BACUNI_00462,A7UYT6_BACUC,BACUNI_00462
bc2018--bc2018___80_00257,BACUNI_00461,A7UYT5_BACUC,efp
bc2018--bc2018___80_00258,BACUNI_00460,A7UYT4_BACUC,rpmH
bc2018--bc2018___80_00259,BACUNI_00458,A7UYT2_BACUC,BACUNI_00458
bc2018--bc2018___80_00260,BACUNI_00457,A7UYT1_BACUC,BACUNI_00457
bc2018--bc2018___80_00261,BACUNI_00456,A7UYT0_BACUC,ddl
bc2018--bc2018___80_00262,BACUNI_00455,A7UYS9_BACUC,BACUNI_00455
bc2018--bc2018___80_00263,BACUNI_00454,A7UYS8_BACUC,BACUNI_00454
bc2018--bc2018___80_00264,BACUNI_00453,A7UYS7_BACUC,BACUNI_00453
bc2018--bc2018___80_00265,BACUNI_00452,A7UYS6_BACUC,argF
bc2018--bc2018___80_00266,BACUNI_00451,A7UYS5_BACUC,proA
bc2018--bc2018___80_00267,BACUNI_00450,A7UYS4_BACUC,proB
bc2018--bc2018___80_00268,BACUNI_00449,A7UYS3_BACUC,BACUNI_00449
bc2018--bc2018___80_00269,BACUNI_00448,A7UYS2_BACUC,murI
bc2018--bc2018___80_00270,BACUNI_00447,A7UYS1_BACUC,BACUNI_00447
bc2018--bc2018___80_00271,BACUNI_00446,A7UYS0_BACUC,BACUNI_00446
bc2018--bc2018___80_00272,BACUNI_00445,A7UYR9_BACUC,yaeT
bc2018--bc2018___80_00273,BACUNI_00444,A7UYR8_BACUC,uppS
bc2018--bc2018___80_00274,BACUNI_00443,A7UYR7_BACUC,BACUNI_00443
bc2018--bc2018___80_00275,BACUNI_00442,A7UYR6_BACUC,ribD
bc2018--bc2018___80_00276,bc2018--bc2018___80_00276,,bc2018--bc2018___80_00276
bc2018--bc2018___80_00277,BACUNI_00440,A7UYR4_BACUC,recX
bc2018--bc2018___80_00278,BACUNI_00439,A7UYR3_BACUC,pyrE
bc2018--bc2018___80_00279,BACUNI_00438,A7UYR2_BACUC,BACUNI_00438
bc2018--bc2018___80_00280,BACUNI_00437,A7UYR1_BACUC,argH
bc2018--bc2018___80_00283,BACUNI_00434,A7UYR0_BACUC,BACUNI_00434
bc2018--bc2018___80_00284,BACUNI_00432,A7UYQ8_BACUC,BACUNI_00432
bc2018--bc2018___80_00285,BACUNI_00431,A7UYQ7_BACUC,BACUNI_00431
bc2018--bc2018___80_00286,BACUNI_00429,A7UYQ6_BACUC,proC
bc2018--bc2018___80_00287,BACUNI_00428,A7UYQ4_BACUC,BACUNI_00428
bc2018--bc2018___80_00288,BACUNI_00427,A7UYQ3_BACUC,argC
bc2018--bc2018___80_00289,BACUNI_00426,,BACUNI_00426
bc2018--bc2018___80_00290,BACUNI_00425,A7UYQ1_BACUC,BACUNI_00425
bc2018--bc2018___80_00291,BACUNI_00424,A7UYQ0_BACUC,BACUNI_00424
bc2018--bc2018___80_00292,BACUNI_00423,A7UYP9_BACUC,argR
bc2018--bc2018___80_00293,BACUNI_00421,,rhaB
bc2018--bc2018___80_00294,BACUNI_00420,,rhaA
bc2018--bc2018___80_00295,BACUNI_00419,,rhaT
bc2018--bc2018___80_00296,BACUNI_00418,A7UYP4_BACUC,BACUNI_00418
bc2018--bc2018___80_00297,BACUNI_00417,A7UYP3_BACUC,fucO
bc2018--bc2018___80_00298,BACUNI_00416,,BACUNI_00416
bc2018--bc2018___80_00299,bc2018--bc2018___80_00299,,bc2018--bc2018___80_00299
bc2018--bc2018___80_00302,BACUNI_00411,A7UYN9_BACUC,BACUNI_00411
bc2018--bc2018___80_00303,BACUNI_00410,A7UYN8_BACUC,BACUNI_00410
bc2018--bc2018___80_00304,BACUNI_00409,A7UYN7_BACUC,BACUNI_00409
bc2018--bc2018___80_00305,BACUNI_00408,A7UYN5_BACUC,BACUNI_00408
bc2018--bc2018___80_00306,BACUNI_00405,A7UYN3_BACUC,BACUNI_00405
bc2018--bc2018___80_00307,BACUNI_00404,A7UYN2_BACUC,BACUNI_00404
bc2018--bc2018___80_00308,BACUNI_00403,,BACUNI_00403
bc2018--bc2018___80_00309,BACUNI_00402,A7UYN0_BACUC,BACUNI_00402
bc2018--bc2018___80_00310,BACUNI_00401,A7UYM9_BACUC,BACUNI_00401
bc2018--bc2018___80_00311,BACUNI_00400,A7UYM8_BACUC,BACUNI_00400
bc2018--bc2018___80_00312,BACUNI_00397,A7UYM5_BACUC,rplS
bc2018--bc2018___80_00313,BACUNI_00395,A7UYM3_BACUC,BACUNI_00395
bc2018--bc2018___80_00314,BACUNI_00394,A7UYM2_BACUC,BACUNI_00394
bc2018--bc2018___80_00315,BACUNI_00393,A7UYM1_BACUC,BACUNI_00393
